!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:54:32 2026

BEGIN CH1_DATA
DCV(V), +4.164e-005, DCI(A), -3.882e-007
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+4.84941600000e+003, +5.26048447911e+001, +8.10304928499e+001, +1.70534756680e-003, +8.20155793913e+000
+4.88499300000e+003, +5.29700093022e+001, +8.09798717844e+001, +1.70444099055e-003, +8.30471401127e+000
+4.92083100000e+003, +5.33371012529e+001, +8.09297456139e+001, +1.70351648418e-003, +8.40834979779e+000
+4.95693200000e+003, +5.37056180209e+001, +8.08788104426e+001, +1.70255177555e-003, +8.51358799768e+000
+4.99329700000e+003, +5.40780099580e+001, +8.08276888837e+001, +1.70162744864e-003, +8.62025777319e+000
+5.02993000000e+003, +5.44515727419e+001, +8.07763368075e+001, +1.70065663256e-003, +8.72798062538e+000
+5.06683100000e+003, +5.48286394122e+001, +8.07249770929e+001, +1.69971381041e-003, +8.83692937667e+000
+5.10400300000e+003, +5.52074468859e+001, +8.06723674499e+001, +1.69873714896e-003, +8.94800875104e+000
+5.14144700000e+003, +5.55889094679e+001, +8.06196685320e+001, +1.69776053408e-003, +9.06028523566e+000
+5.17916600000e+003, +5.59729061346e+001, +8.05676960571e+001, +1.69678339852e-003, +9.17296163568e+000
+5.21716200000e+003, +5.63600940263e+001, +8.05146598409e+001, +1.69581624689e-003, +9.28787561435e+000
+5.25543700000e+003, +5.67495868346e+001, +8.04609762598e+001, +1.69483370322e-003, +9.40450291223e+000
+5.29399300000e+003, +5.71417649349e+001, +8.04067574017e+001, +1.69384727106e-003, +9.52281559569e+000
+5.33283100000e+003, +5.75382372304e+001, +8.03526516277e+001, +1.69290729979e-003, +9.64245929439e+000
+5.37195400000e+003, +5.79368701652e+001, +8.02979332952e+001, +1.69194594446e-003, +9.76380725384e+000
+5.41136500000e+003, +5.83379571197e+001, +8.02422995622e+001, +1.69096967371e-003, +9.88723126112e+000
+5.45106400000e+003, +5.87406059759e+001, +8.01866500130e+001, +1.68995764910e-003, +1.00116957689e+001
+5.49105500000e+003, +5.91457236672e+001, +8.01311965570e+001, +1.68893650201e-003, +1.01371452668e+001
+5.53133900000e+003, +5.95527017578e+001, +8.00758208016e+001, +1.68788840167e-003, +1.02635989275e+001
+5.57191800000e+003, +5.99606403268e+001, +8.00198005517e+001, +1.68678439149e-003, +1.03916486219e+001
+5.61279600000e+003, +6.03730622442e+001, +7.99645787325e+001, +1.68573036618e-003, +1.05204269006e+001
+5.65397300000e+003, +6.07878628931e+001, +7.99071514427e+001, +1.68465141922e-003, +1.06526986866e+001
