Freq.	V(out)
9.40056867736917e+003	6.30867692480352e-001     2.21805008542624e-001
9.40176220349647e+003	6.30868569255328e-001     2.21833155959883e-001
9.40295588115765e+003	6.30869446252846e-001     2.21861306945628e-001
9.40414971037194e+003	6.30870323472963e-001     2.21889461500311e-001
9.40534369115859e+003	6.30871200915735e-001     2.21917619624382e-001
9.40653782353684e+003	6.30872078581220e-001     2.21945781318293e-001
9.40773210752594e+003	6.30872956469473e-001     2.21973946582496e-001
9.40892654314514e+003	6.30873834580550e-001     2.22002115417441e-001
9.41012113041369e+003	6.30874712914509e-001     2.22030287823580e-001
9.41131586935084e+003	6.30875591471406e-001     2.22058463801365e-001
9.41251075997584e+003	6.30876470251298e-001     2.22086643351246e-001
9.41370580230797e+003	6.30877349254241e-001     2.22114826473675e-001
9.41490099636648e+003	6.30878228480291e-001     2.22143013169105e-001
9.41609634217063e+003	6.30879107929506e-001     2.22171203437986e-001
9.41729183973968e+003	6.30879987601941e-001     2.22199397280770e-001
9.41848748909292e+003	6.30880867497654e-001     2.22227594697910e-001
9.41968329024960e+003	6.30881747616701e-001     2.22255795689856e-001
9.42087924322900e+003	6.30882627959139e-001     2.22284000257061e-001
9.42207534805041e+003	6.30883508525025e-001     2.22312208399977e-001
9.42327160473309e+003	6.30884389314415e-001     2.22340420119055e-001
9.42446801329632e+003	6.30885270327365e-001     2.22368635414749e-001
9.42566457375940e+003	6.30886151563934e-001     2.22396854287509e-001
9.42686128614160e+003	6.30887033024176e-001     2.22425076737788e-001
9.42805815046221e+003	6.30887914708150e-001     2.22453302766038e-001
9.42925516674053e+003	6.30888796615912e-001     2.22481532372712e-001
9.43045233499585e+003	6.30889678747518e-001     2.22509765558262e-001
9.43164965524746e+003	6.30890561103025e-001     2.22538002323140e-001
9.43284712751466e+003	6.30891443682491e-001     2.22566242667798e-001
9.43404475181675e+003	6.30892326485972e-001     2.22594486592690e-001
9.43524252817304e+003	6.30893209513525e-001     2.22622734098267e-001
9.43644045660283e+003	6.30894092765206e-001     2.22650985184983e-001
9.43763853712542e+003	6.30894976241073e-001     2.22679239853290e-001
9.43883676976013e+003	6.30895859941182e-001     2.22707498103641e-001
9.44003515452627e+003	6.30896743865591e-001     2.22735759936488e-001
9.44123369144316e+003	6.30897628014356e-001     2.22764025352284e-001
9.44243238053011e+003	6.30898512387534e-001     2.22792294351483e-001
9.44363122180644e+003	6.30899396985182e-001     2.22820566934537e-001
9.44483021529147e+003	6.30900281807357e-001     2.22848843101900e-001
9.44602936100454e+003	6.30901166854117e-001     2.22877122854023e-001
9.44722865896496e+003	6.30902052125517e-001     2.22905406191361e-001
9.44842810919208e+003	6.30902937621615e-001     2.22933693114367e-001
9.44962771170521e+003	6.30903823342468e-001     2.22961983623493e-001
