Freq.	1/S21       v1)
9.44177634515820e+003	       1.42671115692128e+001       -1.08440156953169e+002       
9.44313513884580e+003	       1.42788558552649e+001       -1.08422887135230e+002       
9.44449412808138e+003	       1.42905912694545e+001       -1.08405652467473e+002       
9.44585331289308e+003	       1.43023178274983e+001       -1.08388452841941e+002       
9.44721269330904e+003	       1.43140355450773e+001       -1.08371288151107e+002       
9.44857226935743e+003	       1.43257444378375e+001       -1.08354158287873e+002       
9.44993204106638e+003	       1.43374445213895e+001       -1.08337063145565e+002       
9.45129200846407e+003	       1.43491358113086e+001       -1.08320002617937e+002       
9.45265217157864e+003	       1.43608183231351e+001       -1.08302976599161e+002       
9.45401253043828e+003	       1.43724920723742e+001       -1.08285984983833e+002       
9.45537308507114e+003	       1.43841570744963e+001       -1.08269027666964e+002       
9.45673383550540e+003	       1.43958133449366e+001       -1.08252104543984e+002       
9.45809478176924e+003	       1.44074608990958e+001       -1.08235215510734e+002       
9.45945592389085e+003	       1.44190997523396e+001       -1.08218360463469e+002       
9.46081726189841e+003	       1.44307299199992e+001       -1.08201539298855e+002       
9.46217879582010e+003	       1.44423514173711e+001       -1.08184751913964e+002       
9.46354052568413e+003	       1.44539642597174e+001       -1.08167998206276e+002       
9.46490245151870e+003	       1.44655684622655e+001       -1.08151278073675e+002       
9.46626457335199e+003	       1.44771640402087e+001       -1.08134591414446e+002       
9.46762689121224e+003	       1.44887510087058e+001       -1.08117938127276e+002       
9.46898940512763e+003	       1.45003293828816e+001       -1.08101318111249e+002       
9.47035211512639e+003	       1.45118991778265e+001       -1.08084731265849e+002       
9.47171502123674e+003	       1.45234604085969e+001       -1.08068177490950e+002       
9.47307812348690e+003	       1.45350130902153e+001       -1.08051656686822e+002       
9.47444142190510e+003	       1.45465572376702e+001       -1.08035168754126e+002       
9.47580491651957e+003	       1.45580928659161e+001       -1.08018713593911e+002       
9.47716860735854e+003	       1.45696199898741e+001       -1.08002291107613e+002       
9.47853249445025e+003	       1.45811386244311e+001       -1.07985901197054e+002       
9.47989657782295e+003	       1.45926487844408e+001       -1.07969543764440e+002       
9.48126085750488e+003	       1.46041504847231e+001       -1.07953218712359e+002       
9.48262533352429e+003	       1.46156437400645e+001       -1.07936925943778e+002       
9.48399000590945e+003	       1.46271285652180e+001       -1.07920665362042e+002       
9.48535487468861e+003	       1.46386049749033e+001       -1.07904436870874e+002       
9.48671993989003e+003	       1.46500729838070e+001       -1.07888240374371e+002       
9.48808520154198e+003	       1.46615326065824e+001       -1.07872075777001e+002       
9.48945065967273e+003	       1.46729838578495e+001       -1.07855942983606e+002       
9.49081631431056e+003	       1.46844267521956e+001       -1.07839841899396e+002       
9.49218216548376e+003	       1.46958613041748e+001       -1.07823772429947e+002       
9.49354821322059e+003	       1.47072875283084e+001       -1.07807734481203e+002       
9.49491445754936e+003	       1.47187054390849e+001       -1.07791727959473e+002       
9.49628089849834e+003	       1.47301150509600e+001       -1.07775752771425e+002       
9.49764753609585e+003	       1.47415163783567e+001       -1.07759808824091e+002       
9.49901437037018e+003	       1.47529094356656e+001       -1.07743896024860e+002       
9.50038140134963e+003	       1.47642942372445e+001       -1.07728014281480e+002       
9.50174862906251e+003	       1.47756707974191e+001       -1.07712163502052e+002       
9.50311605353714e+003	       1.47870391304823e+001       -1.07696343595035e+002       
9.50448367480183e+003	       1.47983992506952e+001       -1.07680554469237e+002       
9.50585149288490e+003	       1.48097511722862e+001       -1.07664796033818e+002       
9.50721950781467e+003	       1.48210949094518e+001       -1.07649068198286e+002       
9.50858771961949e+003	       1.48324304763565e+001       -1.07633370872499e+002       
9.50995612832767e+003	       1.48437578871327e+001       -1.07617703966659e+002       
9.51132473396755e+003	       1.48550771558807e+001       -1.07602067391311e+002       
9.51269353656748e+003	       1.48663882966693e+001       -1.07586461057344e+002       
9.51406253615581e+003	       1.48776913235352e+001       -1.07570884875990e+002       
