Freq.	1/S12         v1)
9.21890537155102e+003	         2.43931615156145e+001         8.62478087810587e+001         
9.22023209122404e+003	         2.43944395430720e+001         8.62483089198307e+001         
9.22155900182918e+003	         2.43957175625179e+001         8.62488089739472e+001         
9.22288610339392e+003	         2.43969955739545e+001         8.62493089434216e+001         
9.22421339594572e+003	         2.43982735773842e+001         8.62498088282673e+001         
9.22554087951208e+003	         2.43995515728094e+001         8.62503086284977e+001         
9.22686855412050e+003	         2.44008295602325e+001         8.62508083441263e+001         
9.22819641979845e+003	         2.44021075396557e+001         8.62513079751663e+001         
9.22952447657344e+003	         2.44033855110815e+001         8.62518075216312e+001         
9.23085272447297e+003	         2.44046634745123e+001         8.62523069835345e+001         
9.23218116352455e+003	         2.44059414299505e+001         8.62528063608895e+001         
9.23350979375568e+003	         2.44072193773983e+001         8.62533056537096e+001         
9.23483861519388e+003	         2.44084973168582e+001         8.62538048620081e+001         
9.23616762786667e+003	         2.44097752483326e+001         8.62543039857986e+001         
9.23749683180156e+003	         2.44110531718237e+001         8.62548030250942e+001         
9.23882622702609e+003	         2.44123310873341e+001         8.62553019799086e+001         
9.24015581356777e+003	         2.44136089948660e+001         8.62558008502549e+001         
9.24148559145415e+003	         2.44148868944217e+001         8.62562996361466e+001         
9.24281556071275e+003	         2.44161647860038e+001         8.62567983375970e+001         
9.24414572137113e+003	         2.44174426696145e+001         8.62572969546196e+001         
9.24547607345683e+003	         2.44187205452562e+001         8.62577954872276e+001         
9.24680661699739e+003	         2.44199984129313e+001         8.62582939354345e+001         
9.24813735202037e+003	         2.44212762726422e+001         8.62587922992535e+001         
9.24946827855332e+003	         2.44225541243911e+001         8.62592905786981e+001         
9.25079939662381e+003	         2.44238319681804e+001         8.62597887737816e+001         
9.25213070625939e+003	         2.44251098040126e+001         8.62602868845173e+001         
9.25346220748765e+003	         2.44263876318899e+001         8.62607849109187e+001         
9.25479390033615e+003	         2.44276654518148e+001         8.62612828529989e+001         
9.25612578483247e+003	         2.44289432637896e+001         8.62617807107714e+001         
9.25745786100418e+003	         2.44302210678166e+001         8.62622784842495e+001         
9.25879012887888e+003	         2.44314988638983e+001         8.62627761734466e+001         
9.26012258848415e+003	         2.44327766520369e+001         8.62632737783759e+001         
